#ChatGPT-nek beadott prompt:

Kérlek, generálj 100 rekordnyi szintetikus adatot az AUTO táblához az alábbi struktúra alapján:

CREATE TABLE AUTO (
    AutoId INT IDENTITY(1,1) PRIMARY KEY,
    GyartasiEv NVARCHAR(10) NOT NULL,
    Marka NVARCHAR(100) NOT NULL,
    Modell NVARCHAR(20) NOT NULL,
    Kivitel NVARCHAR(50) NOT NULL,
    Motorcm3 NVARCHAR(10) NOT NULL,
    Szarmazas NVARCHAR(50) NOT NULL
);

Követelmények:
- A GyártásiÉvek legyenek változatosak és valósághűek
- A Márkák legyenek változatosak és valósághűek
- A Modellek legyenek változatosak és valósághűek
- A Kivitelek legyenek változatosak és valósághűek
- A Motorcm3 legyenek valósághűek
- Az Származás legyenek  valósághűek

Kérlek, a kimenet SQL INSERT utasítások formájában legyen, például:

INSERT INTO AUTO (Marka, Modell, GyartasiEv, Kivitel, Motorcm3, Szarmazas) 
VALUES ('Skoda', 'Enyaq', 2024, 'SUV', '0', 'Csehország');

#Azurba ez a rész került futtatásra:

CREATE TABLE AUTO (
    AutoId INT IDENTITY(1,1) PRIMARY KEY,
    GyartasiEv NVARCHAR(10) NOT NULL,
    Marka NVARCHAR(100) NOT NULL,
    Modell NVARCHAR(20) NOT NULL,
    Kivitel NVARCHAR(50) NOT NULL,
    Motorcm3 NVARCHAR(10) NOT NULL,
    Szarmazas NVARCHAR(50) NOT NULL
);

INSERT INTO AUTO (GyartasiEv, Marka, Modell, Kivitel, Motorcm3, Szarmazas)
VALUES ('2021', 'Toyota', 'Corolla', 'Sedan', '1800', 'Japán');
INSERT INTO AUTO (GyartasiEv, Marka, Modell, Kivitel, Motorcm3, Szarmazas)
VALUES ('2019', 'Ford', 'Focus', 'Hatchback', '1500', 'USA');
INSERT INTO AUTO (GyartasiEv, Marka, Modell, Kivitel, Motorcm3, Szarmazas)
VALUES ('2022', 'Volkswagen', 'Golf', 'Hatchback', '2000', 'Németország');
INSERT INTO AUTO (GyartasiEv, Marka, Modell, Kivitel, Motorcm3, Szarmazas)
VALUES ('2020', 'Honda', 'Civic', 'Coupe', '1600', 'Japán');
INSERT INTO AUTO (GyartasiEv, Marka, Modell, Kivitel, Motorcm3, Szarmazas)
VALUES ('2018', 'BMW', 'X5', 'SUV', '3000', 'Németország');
INSERT INTO AUTO (GyartasiEv, Marka, Modell, Kivitel, Motorcm3, Szarmazas)
VALUES ('2023', 'Audi', 'A4', 'Sedan', '2000', 'Németország');
INSERT INTO AUTO (GyartasiEv, Marka, Modell, Kivitel, Motorcm3, Szarmazas)
VALUES ('2020', 'Hyundai', 'Tucson', 'SUV', '1600', 'Dél-Korea');
INSERT INTO AUTO (GyartasiEv, Marka, Modell, Kivitel, Motorcm3, Szarmazas)
VALUES ('2021', 'Kia', 'Sportage', 'SUV', '1800', 'Dél-Korea');
INSERT INTO AUTO (GyartasiEv, Marka, Modell, Kivitel, Motorcm3, Szarmazas)
VALUES ('2019', 'Mercedes-Benz', 'C-Class', 'Sedan', '2000', 'Németország');
INSERT INTO AUTO (GyartasiEv, Marka, Modell, Kivitel, Motorcm3, Szarmazas)
VALUES ('2022', 'Peugeot', '208', 'Hatchback', '1200', 'Franciaország');
INSERT INTO AUTO (GyartasiEv, Marka, Modell, Kivitel, Motorcm3, Szarmazas)
VALUES ('2018', 'Renault', 'Clio', 'Hatchback', '1200', 'Franciaország');
INSERT INTO AUTO (GyartasiEv, Marka, Modell, Kivitel, Motorcm3, Szarmazas)
VALUES ('2023', 'Skoda', 'Octavia', 'Sedan', '2000', 'Csehország');
INSERT INTO AUTO (GyartasiEv, Marka, Modell, Kivitel, Motorcm3, Szarmazas)
VALUES ('2020', 'Seat', 'Ibiza', 'Hatchback', '1400', 'Spanyolország');
INSERT INTO AUTO (GyartasiEv, Marka, Modell, Kivitel, Motorcm3, Szarmazas)
VALUES ('2021', 'Mazda', 'CX-5', 'SUV', '2200', 'Japán');
INSERT INTO AUTO (GyartasiEv, Marka, Modell, Kivitel, Motorcm3, Szarmazas)
VALUES ('2023', 'Tesla', 'Model 3', 'Sedan', 'Electric', 'USA');
INSERT INTO AUTO (GyartasiEv, Marka, Modell, Kivitel, Motorcm3, Szarmazas)
VALUES ('2022', 'Volvo', 'XC60', 'SUV', '2500', 'Svédország');
INSERT INTO AUTO (GyartasiEv, Marka, Modell, Kivitel, Motorcm3, Szarmazas)
VALUES ('2019', 'Suzuki', 'Swift', 'Hatchback', '1200', 'Japán');
INSERT INTO AUTO (GyartasiEv, Marka, Modell, Kivitel, Motorcm3, Szarmazas)
VALUES ('2018', 'Fiat', '500', 'Coupe', '900', 'Olaszország');
INSERT INTO AUTO (GyartasiEv, Marka, Modell, Kivitel, Motorcm3, Szarmazas)
VALUES ('2020', 'Jaguar', 'XF', 'Sedan', '3000', 'Egyesült Királyság');
INSERT INTO AUTO (GyartasiEv, Marka, Modell, Kivitel, Motorcm3, Szarmazas)
VALUES ('2023', 'Chevrolet', 'Malibu', 'Sedan', '2500', 'USA');
INSERT INTO AUTO (GyartasiEv, Marka, Modell, Kivitel, Motorcm3, Szarmazas)
VALUES ('2021', 'Nissan', 'Qashqai', 'SUV', '1600', 'Japán');
INSERT INTO AUTO (GyartasiEv, Marka, Modell, Kivitel, Motorcm3, Szarmazas)
VALUES ('2018', 'Opel', 'Corsa', 'Hatchback', '1200', 'Németország');
INSERT INTO AUTO (GyartasiEv, Marka, Modell, Kivitel, Motorcm3, Szarmazas)
VALUES ('2022', 'Dacia', 'Duster', 'SUV', '1600', 'Románia');
INSERT INTO AUTO (GyartasiEv, Marka, Modell, Kivitel, Motorcm3, Szarmazas)
VALUES ('2019', 'Land Rover', 'Defender', 'SUV', '3000', 'Egyesült Királyság');
INSERT INTO AUTO (GyartasiEv, Marka, Modell, Kivitel, Motorcm3, Szarmazas)
VALUES ('2020', 'Alfa Romeo', 'Giulia', 'Sedan', '2000', 'Olaszország');
INSERT INTO AUTO (GyartasiEv, Marka, Modell, Kivitel, Motorcm3, Szarmazas)
VALUES ('2018', 'Subaru', 'Outback', 'Wagon', '2500', 'Japán');
INSERT INTO AUTO (GyartasiEv, Marka, Modell, Kivitel, Motorcm3, Szarmazas)
VALUES ('2022', 'Citroën', 'C4', 'Hatchback', '1500', 'Franciaország');
INSERT INTO AUTO (GyartasiEv, Marka, Modell, Kivitel, Motorcm3, Szarmazas)
VALUES ('2021', 'Lexus', 'RX', 'SUV', '3500', 'Japán');
INSERT INTO AUTO (GyartasiEv, Marka, Modell, Kivitel, Motorcm3, Szarmazas)
VALUES ('2020', 'Jeep', 'Wrangler', 'SUV', '2800', 'USA');
INSERT INTO AUTO (GyartasiEv, Marka, Modell, Kivitel, Motorcm3, Szarmazas)
VALUES ('2019', 'Mitsubishi', 'Outlander', 'SUV', '2400', 'Japán');
INSERT INTO AUTO (GyartasiEv, Marka, Modell, Kivitel, Motorcm3, Szarmazas)
VALUES ('2020', 'Mini', 'Cooper', 'Hatchback', '1500', 'Egyesült Királyság');
INSERT INTO AUTO (GyartasiEv, Marka, Modell, Kivitel, Motorcm3, Szarmazas)
VALUES ('2023', 'Porsche', 'Cayenne', 'SUV', '3000', 'Németország');
INSERT INTO AUTO (GyartasiEv, Marka, Modell, Kivitel, Motorcm3, Szarmazas)
VALUES ('2022', 'Rolls-Royce', 'Phantom', 'Sedan', '6700', 'Egyesült Királyság');
INSERT INTO AUTO (GyartasiEv, Marka, Modell, Kivitel, Motorcm3, Szarmazas)
VALUES ('2023', 'Bentley', 'Continental', 'Coupe', '6000', 'Egyesült Királyság');
INSERT INTO AUTO (GyartasiEv, Marka, Modell, Kivitel, Motorcm3, Szarmazas)
VALUES ('2021', 'Maserati', 'Ghibli', 'Sedan', '3000', 'Olaszország');
INSERT INTO AUTO (GyartasiEv, Marka, Modell, Kivitel, Motorcm3, Szarmazas)
VALUES ('2020', 'Aston Martin', 'DB11', 'Coupe', '5200', 'Egyesült Királyság');
INSERT INTO AUTO (GyartasiEv, Marka, Modell, Kivitel, Motorcm3, Szarmazas)
VALUES ('2023', 'Ferrari', '488', 'Coupe', '3900', 'Olaszország');
INSERT INTO AUTO (GyartasiEv, Marka, Modell, Kivitel, Motorcm3, Szarmazas)
