#ChatGPT-nek beadott prompt:

Kérlek, generálj 100 rekordnyi szintetikus adatot az AUTO táblához az alábbi struktúra alapján:

CREATE TABLE CIM (
    CimID INT IDENTITY(1,1) PRIMARY KEY,
    Utca NVARCHAR(100) NOT NULL,
    Hazszam NVARCHAR(20) NOT NULL,
    Varos NVARCHAR(50) NOT NULL,
    Iranyitoszam NVARCHAR(10) NOT NULL,
    Orszag NVARCHAR(50) NOT NULL
);

Követelmények:
- Az utcák legyenek változatosak és valósághûek
- A házszámok legyenek változatosak és valósághûek
- A városok legyenek változatosak és valósághûek
- Az Irányitószámok legyenek változatosak és valósághûek
- Az Országok legyenek változatosak és valósághûek

Kérlek, a kimenet SQL INSERT utasítások formájában legyen, például:

INSERT INTO CIM (Utca, Hazszam, Varos, Iranyitoszam, Orszag)
VALUES ('Gárdonyi Géza utca', '33', 'Aszód', '2170', 'Magyarország');


#Azurba ez a rész került futtatásra:

CREATE TABLE CIM (
    CimID INT IDENTITY(1,1) PRIMARY KEY,
    Utca NVARCHAR(100) NOT NULL,
    Hazszam NVARCHAR(20) NOT NULL,
    Varos NVARCHAR(50) NOT NULL,
    Iranyitoszam NVARCHAR(10) NOT NULL,
    Orszag NVARCHAR(50) NOT NULL
);


INSERT INTO CIM (Utca, Hazszam, Varos, Iranyitoszam, Orszag) VALUES ('Deák Ferenc tér', '10', 'Székesfehérvár', '7794', 'Magyarország');
INSERT INTO CIM (Utca, Hazszam, Varos, Iranyitoszam, Orszag) VALUES ('Petõfi Sándor utca', '138', 'Kecskemét', '7240', 'Magyarország');
INSERT INTO CIM (Utca, Hazszam, Varos, Iranyitoszam, Orszag) VALUES ('Ady Endre utca', '84', 'Székesfehérvár', '8713', 'Magyarország');
INSERT INTO CIM (Utca, Hazszam, Varos, Iranyitoszam, Orszag) VALUES ('Rákóczi út', '59', 'Miskolc', '5450', 'Magyarország');
INSERT INTO CIM (Utca, Hazszam, Varos, Iranyitoszam, Orszag) VALUES ('Arany János utca', '109', 'Kecskemét', '7853', 'Magyarország');
INSERT INTO CIM (Utca, Hazszam, Varos, Iranyitoszam, Orszag) VALUES ('Arany János utca', '191', 'Nyíregyháza', '5943', 'Magyarország');
INSERT INTO CIM (Utca, Hazszam, Varos, Iranyitoszam, Orszag) VALUES ('Széchenyi István tér', '31', 'Kecskemét', '9756', 'Magyarország');
INSERT INTO CIM (Utca, Hazszam, Varos, Iranyitoszam, Orszag) VALUES ('Kossuth Lajos utca', '154', 'Nyíregyháza', '3097', 'Magyarország');
INSERT INTO CIM (Utca, Hazszam, Varos, Iranyitoszam, Orszag) VALUES ('Jókai Mór utca', '33', 'Miskolc', '1137', 'Magyarország');
INSERT INTO CIM (Utca, Hazszam, Varos, Iranyitoszam, Orszag) VALUES ('Rákóczi út', '114', 'Debrecen', '4763', 'Magyarország');
INSERT INTO CIM (Utca, Hazszam, Varos, Iranyitoszam, Orszag) VALUES ('Ady Endre utca', '119C', 'Budapest', '1677', 'Magyarország');
INSERT INTO CIM (Utca, Hazszam, Varos, Iranyitoszam, Orszag) VALUES ('Széchenyi István tér', '120', 'Debrecen', '2610', 'Magyarország');
INSERT INTO CIM (Utca, Hazszam, Varos, Iranyitoszam, Orszag) VALUES ('Kossuth Lajos utca', '133', 'Pécs', '6554', 'Magyarország');
INSERT INTO CIM (Utca, Hazszam, Varos, Iranyitoszam, Orszag) VALUES ('Deák Ferenc tér', '61', 'Debrecen', '6646', 'Magyarország');
INSERT INTO CIM (Utca, Hazszam, Varos, Iranyitoszam, Orszag) VALUES ('Petõfi Sándor utca', '1', 'Pécs', '3464', 'Magyarország');
INSERT INTO CIM (Utca, Hazszam, Varos, Iranyitoszam, Orszag) VALUES ('Kossuth Lajos utca', '22', 'Szeged', '8851', 'Magyarország');
INSERT INTO CIM (Utca, Hazszam, Varos, Iranyitoszam, Orszag) VALUES ('Petõfi Sándor utca', '197', 'Szeged', '2656', 'Magyarország');
INSERT INTO CIM (Utca, Hazszam, Varos, Iranyitoszam, Orszag) VALUES ('Deák Ferenc tér', '195', 'Gyõr', '5730', 'Magyarország');
